,index,cf_to_private_sector,cf_health,cf_family,cf_dept_dissatisfaction,cf_job_dissatisfaction,cf_interpersonal_conflict,cf_other,institute_recognition,institute_job_security,dept_workload,dept_work_life_balance,dept_work_environment,gender,age,service_years,exit_year,college,cf_dept_or_job_dissatisfaction
0,0,False,False,False,False,False,False,False,False,False,False,False,False,Female,26–30,1 to 2 Years,2010,TAFE,False
1,1,False,False,False,False,False,False,False,True,True,True,False,True,Female,,,2010,TAFE,False
2,2,False,False,False,False,False,False,False,False,False,False,False,False,Female,,,2010,TAFE,False
3,3,False,False,False,False,False,False,False,False,False,True,True,True,Female,,,2010,TAFE,False
4,4,True,False,False,False,False,False,False,True,False,True,True,True,Male,41–45,3 to 4 Years,2010,TAFE,False
5,5,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,7 to 10 Years,2010,TAFE,False
6,6,True,False,True,False,False,False,True,True,True,True,True,True,Male,18-20,3 to 4 Years,2010,TAFE,False
7,7,False,False,False,False,False,False,True,False,False,False,False,False,Male,46–50,3 to 4 Years,2010,TAFE,False
8,8,False,False,False,False,False,False,True,True,True,True,True,True,Female,36–40,3 to 4 Years,2009,TAFE,False
9,9,False,False,False,False,False,False,True,False,True,True,False,True,Female,21–25,1 to 2 Years,2010,TAFE,False
10,10,False,False,False,False,False,False,False,False,False,True,True,True,Female,41–45,Under 1 Year,2010,TAFE,False
11,11,False,False,False,False,False,False,False,True,False,False,False,True,Male,56+,11 to 20 Years,2010,TAFE,False
12,12,False,False,False,False,False,False,False,True,True,False,False,True,Male,51-55,3 to 4 Years,2010,TAFE,False
13,13,True,False,False,False,False,False,False,False,False,False,False,False,Female,31–35,11 to 20 Years,2010,TAFE,False
14,14,True,False,False,True,True,False,False,False,False,False,False,False,Female,31–35,7 to 10 Years,2010,TAFE,True
15,15,False,False,False,False,False,False,True,False,False,True,True,True,Female,46–50,11 to 20 Years,2010,TAFE,False
16,16,False,False,False,False,False,False,False,False,False,False,False,False,Female,,,2010,TAFE,False
17,17,False,False,False,False,True,False,False,False,False,False,False,False,Female,31–35,7 to 10 Years,2010,TAFE,True
18,18,False,False,False,False,False,False,False,False,False,False,False,False,Female,,,2010,TAFE,False
19,19,False,False,False,False,False,False,False,False,False,False,False,False,Female,,,2010,TAFE,False
20,20,False,False,False,True,True,False,False,False,False,False,False,False,Female,,,2010,TAFE,True
21,21,True,False,False,False,False,False,False,False,False,False,False,False,Female,,,2010,TAFE,False
22,22,False,False,False,False,False,False,True,False,False,False,False,True,Male,26–30,5 to 6 Years,2010,TAFE,False
23,23,False,False,False,False,False,False,False,False,False,False,False,True,Female,26–30,Under 1 Year,2010,TAFE,False
24,24,True,False,False,False,False,False,False,False,False,False,False,False,Female,31–35,7 to 10 Years,2010,TAFE,False
25,25,False,False,False,False,False,False,False,False,False,False,False,False,Female,41–45,Under 1 Year,2010,TAFE,False
26,26,True,False,False,True,True,False,False,False,False,False,False,True,Male,,,2010,TAFE,True
27,27,False,False,False,False,False,False,False,False,False,False,False,True,Male,56+,20 Plus Years,2010,TAFE,False
28,28,False,False,False,False,False,False,False,False,False,False,False,False,Male,,,2010,TAFE,False
29,29,True,False,False,False,False,False,False,True,False,False,False,False,Female,31–35,Under 1 Year,2010,TAFE,False
30,30,False,False,False,False,False,False,False,False,False,False,False,False,Male,,,2010,TAFE,False
31,31,False,False,False,False,False,False,False,False,False,False,False,True,Female,26–30,Under 1 Year,2010,TAFE,False
32,32,True,False,False,False,False,False,False,False,False,False,False,False,Female,46–50,Under 1 Year,2010,TAFE,False
33,33,False,False,False,False,False,False,False,False,False,False,False,False,Male,,,2010,TAFE,False
34,34,False,False,False,False,False,False,False,False,False,False,False,False,Male,56+,20 Plus Years,2010,TAFE,False
35,35,False,False,False,False,False,False,False,False,False,False,False,False,Female,56+,11 to 20 Years,2010,TAFE,False
36,36,True,False,False,False,False,False,True,False,False,False,False,False,Female,,,2010,TAFE,False
37,37,False,False,False,False,False,False,False,False,False,False,False,False,Male,,,2010,TAFE,False
38,38,False,False,False,False,False,False,False,False,False,False,False,False,Female,,,2010,TAFE,False
39,39,False,False,False,False,False,False,False,True,True,True,True,True,Female,,,2010,TAFE,False
40,40,False,False,False,True,False,False,False,False,False,False,False,False,Female,26–30,Under 1 Year,2010,TAFE,True
41,41,False,False,False,False,False,False,False,False,False,False,False,False,Female,36–40,11 to 20 Years,2010,TAFE,False
