,record_id,job_position,leave_reason,cf_to_public_sector,cf_to_private_sector,cf_health,cf_family,cf_dept_dissatisfaction,cf_job_dissatisfaction,cf_interpersonal_conflict,cf_other,institute_recognition,institute_job_security,dept_workload,dept_work_life_balance,dept_work_environment,gender,age,job_status,service_years
0,1,non_teaching_role,Ill Health Retirement,True,False,False,False,False,True,False,True,True,False,False,False,False,Male,56-60,A01-A04,8.0
1,2,non_teaching_role,Voluntary Early Retirement (VER),False,False,False,False,False,False,False,False,False,False,False,False,False,Male,56-60,AO5-AO7,
2,3,non_teaching_role,Voluntary Early Retirement (VER),False,False,False,False,False,False,False,True,False,False,False,False,False,Male,61 or older,,1.0
3,4,teaching_role,Resignation-Other reasons,False,True,False,False,False,False,False,False,False,False,False,False,False,Female,36-40,Primary,6.0
4,5,teaching_role,Age Retirement,False,False,False,False,False,False,False,False,False,False,False,True,False,Female,61 or older,,23.0
5,6,teaching_role,Resignation-Other reasons,False,True,False,True,False,False,False,False,False,False,False,False,False,Female,41-45,,15.0
6,7,teaching_role,Age Retirement,False,False,False,False,True,True,False,False,False,False,False,False,False,Female,56-60,Secondary,5.0
7,8,teaching_role,Age Retirement,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,61 or older,,22.0
8,9,teaching_role,Resignation-Other reasons,False,True,False,False,False,False,False,False,False,False,False,False,False,Female,31-35,Secondary,3.0
9,10,teaching_role,Resignation-Other employer,False,False,False,False,True,True,True,False,False,False,False,False,False,Female,46-50,,4.0
10,11,teaching_role,Age Retirement,False,False,False,False,False,True,False,False,False,False,False,False,False,Male,61 or older,Primary,13.0
11,12,teaching_role,Resignation-Move overseas/interstate,False,False,False,True,False,False,False,False,False,False,False,False,False,Male,31-35,Secondary,3.0
12,13,teaching_role,Resignation-Other reasons,False,False,False,True,False,False,False,False,False,False,False,False,False,Female,36-40,Primary,14.0
13,14,teaching_role,Age Retirement,False,False,False,False,False,False,False,False,False,False,False,True,False,Female,61 or older,Primary,12.0
14,15,teaching_role,Resignation-Other employer,False,False,False,False,True,True,False,False,False,False,False,False,False,Male,31-35,Secondary,2.0
15,16,teaching_role,Voluntary Early Retirement (VER),False,False,True,False,False,False,False,False,False,False,False,False,False,Male,61 or older,Secondary,8.0
16,17,teaching_role,Resignation-Other reasons,False,False,False,False,False,False,False,False,True,False,False,False,False,Male,61 or older,,
17,18,teaching_role,Age Retirement,False,False,False,True,False,False,False,False,False,False,False,False,False,Female,56-60,Primary,16.0
18,19,non_teaching_role,Age Retirement,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,61 or older,,6.0
19,20,non_teaching_role,Age Retirement,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,61 or older,,23.0
20,21,teaching_role,Resignation-Other employer,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,56-60,Secondary,30.0
21,22,non_teaching_role,Resignation-Other reasons,False,False,False,False,False,False,True,False,False,False,False,False,False,Female,51-55,,3.0
22,23,non_teaching_role,Resignation-Other reasons,False,False,False,False,True,False,False,False,True,False,False,True,False,Female,46-50,,14.0
23,24,teaching_role,Resignation-Other reasons,False,False,False,True,False,True,False,False,False,False,False,True,False,Female,61 or older,Primary,0.0
24,25,teaching_role,Age Retirement,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,61 or older,,31.0
25,26,teaching_role,Resignation-Other reasons,False,False,False,False,False,False,False,False,False,False,False,True,False,Female,41-45,Primary,10.0
26,27,teaching_role,Age Retirement,False,False,False,False,False,False,False,False,False,False,True,True,False,Male,56-60,Primary,35.0
27,28,non_teaching_role,Resignation-Other employer,True,False,False,False,False,False,False,False,False,False,False,False,False,Female,21-25,AO5-AO7,1.0
28,29,teaching_role,Age Retirement,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,56-60,,23.0
29,30,teaching_role,Age Retirement,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56-60,Special Education,9.0
30,31,teaching_role,Age Retirement,False,False,True,False,True,True,False,False,False,False,False,False,False,Female,56-60,Primary,23.0
31,32,teaching_role,Age Retirement,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,51-55,Secondary,34.0
32,33,teaching_role,Age Retirement,False,False,True,False,False,False,True,False,False,False,False,True,False,Male,56-60,,20.0
33,34,teaching_role,Resignation-Other reasons,False,False,False,False,False,False,True,False,True,False,False,False,False,Male,36-40,Secondary,9.0
34,35,non_teaching_role,Resignation-Other reasons,False,False,False,False,False,False,False,False,False,False,False,True,False,Male,61 or older,,3.0
35,36,teaching_role,Ill Health Retirement,False,False,True,False,True,False,False,False,False,False,False,False,False,Female,51-55,Special Education,12.0
36,37,non_teaching_role,Age Retirement,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,61 or older,,15.0
37,38,teaching_role,Resignation-Other reasons,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,21-25,,1.0
38,39,teaching_role,Other,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,51-55,,14.0
39,40,teaching_role,Resignation-Move overseas/interstate,False,False,False,False,False,True,False,False,True,False,False,True,False,Female,21-25,,
40,41,teaching_role,Resignation-Other employer,True,False,False,False,False,False,False,False,False,False,False,False,False,Male,56-60,Primary,32.0
41,42,teaching_role,Resignation-Other reasons,False,False,False,False,False,False,True,False,False,False,False,True,False,Female,51-55,,18.0
42,43,non_teaching_role,Resignation-Move overseas/interstate,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,41-45,,1.0
43,44,teaching_role,Resignation-Other reasons,False,False,False,False,False,True,False,False,False,False,True,True,False,Male,51-55,Primary,36.0
44,45,teaching_role,Age Retirement,False,True,False,False,True,False,False,False,False,False,True,False,False,Female,51-55,Primary,21.0
45,46,teaching_role,Voluntary Early Retirement (VER),False,False,True,False,False,False,False,False,False,False,True,True,False,Female,46-50,Primary,11.0
46,47,non_teaching_role,Voluntary Early Retirement (VER),False,False,False,False,False,False,False,True,False,False,False,False,False,Male,56-60,,4.0
47,48,teaching_role,Age Retirement,False,False,False,False,False,False,False,False,False,False,False,True,False,Female,56-60,Secondary,19.0
48,49,non_teaching_role,Resignation-Move overseas/interstate,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,21-25,,2.0
49,50,teaching_role,Age Retirement,False,False,False,False,False,False,False,False,False,False,False,True,False,Female,61 or older,Primary,5.0
50,51,non_teaching_role,Resignation-Move overseas/interstate,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,21-25,,2.0
51,52,non_teaching_role,Resignation-Other reasons,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,61 or older,,19.0
52,53,teaching_role,Other,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,61 or older,Secondary,29.0
53,54,teaching_role,Ill Health Retirement,False,False,True,False,False,False,False,False,False,False,False,False,False,Female,56-60,,
54,55,teaching_role,Age Retirement,False,False,True,False,False,True,False,False,True,False,False,False,False,Female,56-60,Special Education,4.0
55,56,teaching_role,Resignation-Other employer,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,26-30,,4.0
56,57,teaching_role,Age Retirement,False,False,False,False,False,True,False,False,False,False,False,True,False,Female,61 or older,,22.0
57,58,teaching_role,Resignation-Other employer,False,True,False,False,False,False,False,False,False,False,False,False,False,Male,46-50,Secondary,0.0
58,59,teaching_role,Ill Health Retirement,False,False,True,False,False,True,False,False,False,False,True,False,False,Female,51-55,Primary,0.0
59,60,teaching_role,Age Retirement,False,False,False,False,False,False,False,True,False,False,False,False,False,,61 or older,Primary,
60,61,teaching_role,Age Retirement,False,False,False,False,False,False,False,False,False,False,False,True,False,Male,46-50,Primary,25.0
61,62,non_teaching_role,Resignation-Other reasons,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,31-35,,1.0
62,63,teaching_role,Age Retirement,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,61 or older,,22.0
63,64,non_teaching_role,Ill Health Retirement,False,False,True,False,False,False,False,False,False,False,True,False,True,Male,56-60,,23.0
64,65,teaching_role,Age Retirement,False,False,False,False,False,True,False,False,False,False,True,False,False,Male,61 or older,Primary,27.0
65,66,teaching_role,Age Retirement,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,61 or older,,27.0
66,67,teaching_role,Other,False,False,False,False,False,False,False,False,False,False,False,True,False,Male,61 or older,Secondary,5.0
67,68,teaching_role,Other,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,26-30,,
68,69,teaching_role,Age Retirement,False,False,False,False,False,True,False,False,True,False,False,False,False,,61 or older,Primary,6.0
69,70,non_teaching_role,Resignation-Other reasons,False,False,False,False,False,True,False,False,False,False,False,False,False,Female,36-40,AO5-AO7,
