,record_id,job_position,leave_reason,cf_to_public_sector,cf_to_private_sector,cf_health,cf_family,cf_dept_dissatisfaction,cf_job_dissatisfaction,cf_interpersonal_conflict,cf_other,institute_recognition,institute_job_security,dept_workload,dept_work_life_balance,dept_work_environment,gender,age,job_status,service_years,service_years_x
0,1,non_teaching_role,Ill Health Retirement,True,False,False,False,False,True,False,True,True,False,False,False,False,Male,56+,A01-A04,7 to 10 Years,7 to 10 Years
1,2,non_teaching_role,Voluntary Early Retirement (VER),False,False,False,False,False,False,False,False,False,False,False,False,False,Male,56+,AO5-AO7,NaN,NaN
2,3,non_teaching_role,Voluntary Early Retirement (VER),False,False,False,False,False,False,False,True,False,False,False,False,False,Male,56+,,1 to 2 Years,1 to 2 Years
3,4,teaching_role,Resignation-Other reasons,False,True,False,False,False,False,False,False,False,False,False,False,False,Female,36-40,Primary,5 to 6 Years,5 to 6 Years
4,5,teaching_role,Age Retirement,False,False,False,False,False,False,False,False,False,False,False,True,False,Female,56+,,20 Plus Years,20 Plus Years
5,6,teaching_role,Resignation-Other reasons,False,True,False,True,False,False,False,False,False,False,False,False,False,Female,41-45,,11 to 20 Years,11 to 20 Years
6,7,teaching_role,Age Retirement,False,False,False,False,True,True,False,False,False,False,False,False,False,Female,56+,Secondary,5 to 6 Years,5 to 6 Years
7,8,teaching_role,Age Retirement,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,56+,,20 Plus Years,20 Plus Years
8,9,teaching_role,Resignation-Other reasons,False,True,False,False,False,False,False,False,False,False,False,False,False,Female,31-35,Secondary,3 to 4 Years,3 to 4 Years
9,10,teaching_role,Resignation-Other employer,False,False,False,False,True,True,True,False,False,False,False,False,False,Female,46-50,,3 to 4 Years,3 to 4 Years
10,11,teaching_role,Age Retirement,False,False,False,False,False,True,False,False,False,False,False,False,False,Male,56+,Primary,11 to 20 Years,11 to 20 Years
11,12,teaching_role,Resignation-Move overseas/interstate,False,False,False,True,False,False,False,False,False,False,False,False,False,Male,31-35,Secondary,3 to 4 Years,3 to 4 Years
12,13,teaching_role,Resignation-Other reasons,False,False,False,True,False,False,False,False,False,False,False,False,False,Female,36-40,Primary,11 to 20 Years,11 to 20 Years
13,14,teaching_role,Age Retirement,False,False,False,False,False,False,False,False,False,False,False,True,False,Female,56+,Primary,11 to 20 Years,11 to 20 Years
14,15,teaching_role,Resignation-Other employer,False,False,False,False,True,True,False,False,False,False,False,False,False,Male,31-35,Secondary,1 to 2 Years,1 to 2 Years
15,16,teaching_role,Voluntary Early Retirement (VER),False,False,True,False,False,False,False,False,False,False,False,False,False,Male,56+,Secondary,7 to 10 Years,7 to 10 Years
16,17,teaching_role,Resignation-Other reasons,False,False,False,False,False,False,False,False,True,False,False,False,False,Male,56+,,NaN,NaN
17,18,teaching_role,Age Retirement,False,False,False,True,False,False,False,False,False,False,False,False,False,Female,56+,Primary,11 to 20 Years,11 to 20 Years
18,19,non_teaching_role,Age Retirement,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,,5 to 6 Years,5 to 6 Years
19,20,non_teaching_role,Age Retirement,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,56+,,20 Plus Years,20 Plus Years
20,21,teaching_role,Resignation-Other employer,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,56+,Secondary,20 Plus Years,20 Plus Years
21,22,non_teaching_role,Resignation-Other reasons,False,False,False,False,False,False,True,False,False,False,False,False,False,Female,51-55,,3 to 4 Years,3 to 4 Years
22,23,non_teaching_role,Resignation-Other reasons,False,False,False,False,True,False,False,False,True,False,False,True,False,Female,46-50,,11 to 20 Years,11 to 20 Years
23,24,teaching_role,Resignation-Other reasons,False,False,False,True,False,True,False,False,False,False,False,True,False,Female,56+,Primary,Under 1 Year,Under 1 Year
24,25,teaching_role,Age Retirement,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,,20 Plus Years,20 Plus Years
25,26,teaching_role,Resignation-Other reasons,False,False,False,False,False,False,False,False,False,False,False,True,False,Female,41-45,Primary,7 to 10 Years,7 to 10 Years
26,27,teaching_role,Age Retirement,False,False,False,False,False,False,False,False,False,False,True,True,False,Male,56+,Primary,20 Plus Years,20 Plus Years
27,28,non_teaching_role,Resignation-Other employer,True,False,False,False,False,False,False,False,False,False,False,False,False,Female,21-25,AO5-AO7,1 to 2 Years,1 to 2 Years
28,29,teaching_role,Age Retirement,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,56+,,20 Plus Years,20 Plus Years
29,30,teaching_role,Age Retirement,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,Special Education,7 to 10 Years,7 to 10 Years
30,31,teaching_role,Age Retirement,False,False,True,False,True,True,False,False,False,False,False,False,False,Female,56+,Primary,20 Plus Years,20 Plus Years
31,32,teaching_role,Age Retirement,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,51-55,Secondary,20 Plus Years,20 Plus Years
32,33,teaching_role,Age Retirement,False,False,True,False,False,False,True,False,False,False,False,True,False,Male,56+,,11 to 20 Years,11 to 20 Years
33,34,teaching_role,Resignation-Other reasons,False,False,False,False,False,False,True,False,True,False,False,False,False,Male,36-40,Secondary,7 to 10 Years,7 to 10 Years
34,35,non_teaching_role,Resignation-Other reasons,False,False,False,False,False,False,False,False,False,False,False,True,False,Male,56+,,3 to 4 Years,3 to 4 Years
