,cf_to_public_sector,cf_to_private_sector,cf_health,cf_family,cf_dept_dissatisfaction,cf_job_dissatisfaction,cf_interpersonal_conflict,cf_other,institute_recognition,institute_job_security,dept_workload,dept_work_life_balance,dept_work_environment,gender,age,service_years
0,True,False,False,False,False,True,False,True,True,False,False,False,False,Male,56+,7 to 10 Years
1,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,56+,NaN
2,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,56+,1 to 2 Years
3,False,True,False,False,False,False,False,False,False,False,False,False,False,Female,36-40,5 to 6 Years
4,False,False,False,False,False,False,False,False,False,False,False,True,False,Female,56+,20 Plus Years
5,False,True,False,True,False,False,False,False,False,False,False,False,False,Female,41-45,11 to 20 Years
6,False,False,False,False,True,True,False,False,False,False,False,False,False,Female,56+,5 to 6 Years
7,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,56+,20 Plus Years
8,False,True,False,False,False,False,False,False,False,False,False,False,False,Female,31-35,3 to 4 Years
9,False,False,False,False,True,True,True,False,False,False,False,False,False,Female,46-50,3 to 4 Years
10,False,False,False,False,False,True,False,False,False,False,False,False,False,Male,56+,11 to 20 Years
11,False,False,False,True,False,False,False,False,False,False,False,False,False,Male,31-35,3 to 4 Years
12,False,False,False,True,False,False,False,False,False,False,False,False,False,Female,36-40,11 to 20 Years
13,False,False,False,False,False,False,False,False,False,False,False,True,False,Female,56+,11 to 20 Years
14,False,False,False,False,True,True,False,False,False,False,False,False,False,Male,31-35,1 to 2 Years
15,False,False,True,False,False,False,False,False,False,False,False,False,False,Male,56+,7 to 10 Years
16,False,False,False,False,False,False,False,False,True,False,False,False,False,Male,56+,NaN
17,False,False,False,True,False,False,False,False,False,False,False,False,False,Female,56+,11 to 20 Years
18,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,5 to 6 Years
19,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,56+,20 Plus Years
20,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,56+,20 Plus Years
21,False,False,False,False,False,False,True,False,False,False,False,False,False,Female,51-55,3 to 4 Years
22,False,False,False,False,True,False,False,False,True,False,False,True,False,Female,46-50,11 to 20 Years
23,False,False,False,True,False,True,False,False,False,False,False,True,False,Female,56+,Under 1 Year
24,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,20 Plus Years
25,False,False,False,False,False,False,False,False,False,False,False,True,False,Female,41-45,7 to 10 Years
26,False,False,False,False,False,False,False,False,False,False,True,True,False,Male,56+,20 Plus Years
27,True,False,False,False,False,False,False,False,False,False,False,False,False,Female,21-25,1 to 2 Years
28,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,56+,20 Plus Years
29,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,7 to 10 Years
30,False,False,True,False,True,True,False,False,False,False,False,False,False,Female,56+,20 Plus Years
31,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,51-55,20 Plus Years
32,False,False,True,False,False,False,True,False,False,False,False,True,False,Male,56+,11 to 20 Years
33,False,False,False,False,False,False,True,False,True,False,False,False,False,Male,36-40,7 to 10 Years
34,False,False,False,False,False,False,False,False,False,False,False,True,False,Male,56+,3 to 4 Years
35,False,False,True,False,True,False,False,False,False,False,False,False,False,Female,51-55,11 to 20 Years
36,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,56+,11 to 20 Years
37,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,21-25,1 to 2 Years
38,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,51-55,11 to 20 Years
39,False,False,False,False,False,True,False,False,True,False,False,True,False,Female,21-25,NaN
40,True,False,False,False,False,False,False,False,False,False,False,False,False,Male,56+,20 Plus Years
41,False,False,False,False,False,False,True,False,False,False,False,True,False,Female,51-55,11 to 20 Years
42,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,41-45,1 to 2 Years
43,False,False,False,False,False,True,False,False,False,False,True,True,False,Male,51-55,20 Plus Years
44,False,True,False,False,True,False,False,False,False,False,True,False,False,Female,51-55,20 Plus Years
45,False,False,True,False,False,False,False,False,False,False,True,True,False,Female,46-50,11 to 20 Years
46,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,56+,3 to 4 Years
47,False,False,False,False,False,False,False,False,False,False,False,True,False,Female,56+,11 to 20 Years
48,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,21-25,1 to 2 Years
49,False,False,False,False,False,False,False,False,False,False,False,True,False,Female,56+,5 to 6 Years
50,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,21-25,1 to 2 Years
51,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,11 to 20 Years
52,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,20 Plus Years
53,False,False,True,False,False,False,False,False,False,False,False,False,False,Female,56+,NaN
54,False,False,True,False,False,True,False,False,True,False,False,False,False,Female,56+,3 to 4 Years
55,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,26-30,3 to 4 Years
56,False,False,False,False,False,True,False,False,False,False,False,True,False,Female,56+,20 Plus Years
57,False,True,False,False,False,False,False,False,False,False,False,False,False,Male,46-50,Under 1 Year
58,False,False,True,False,False,True,False,False,False,False,True,False,False,Female,51-55,Under 1 Year
59,False,False,False,False,False,False,False,True,False,False,False,False,False,,56+,NaN
60,False,False,False,False,False,False,False,False,False,False,False,True,False,Male,46-50,20 Plus Years
61,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,31-35,1 to 2 Years
62,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,20 Plus Years
63,False,False,True,False,False,False,False,False,False,False,True,False,True,Male,56+,20 Plus Years
