,Unnamed: 0,Unnamed: 0.1,record_id,job_position,leave_reason,cf_to_public_sector,cf_to_private_sector,cf_health,cf_family,cf_dept_dissatisfaction,cf_job_dissatisfaction,cf_interpersonal_conflict,cf_other,institute_recognition,institute_job_security,dept_workload,dept_work_life_balance,dept_work_environment,gender,age,job_status,service_years,cf_dept_dissatisfaction_x,cf_to_public_sector_x,cf_to_private_sector_x,cf_interpersonal_conflict_x,cf_job_dissatisfaction_x,cf_family_x,cf_health_x,cf_other_x
0,0,0,634133009996094000,Non-Delivery (corporate),Contract Expired,False,False,False,False,False,False,False,False,Agree,Agree,Agree,Agree,Agree,Female,26 – 30,Temporary Full-time,1 to 2 Years,False,False,False,False,False,False,False,False
1,1,1,634133654064531000,Non-Delivery (corporate),Retirement,False,False,False,False,False,False,False,False,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,,,,NaN,False,False,False,False,False,False,False,False
2,2,2,634138845606563000,Delivery (teaching),Retirement,False,False,False,False,False,False,False,False,Agree,Agree,Agree,Agree,Agree,,,,NaN,False,False,False,False,False,False,False,False
3,3,3,634139903350000000,Non-Delivery (corporate),Resignation,False,False,False,False,False,False,False,False,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,,NaN,False,False,False,False,False,False,False,False
4,4,4,634146578511788000,Delivery (teaching),Resignation,False,True,False,False,False,False,False,False,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Male,41 – 45,Permanent Full-time,3 to 4 Years,False,False,True,False,False,False,False,False
5,5,5,634147506906311000,Delivery (teaching),Resignation,False,False,False,False,False,False,False,True,Neutral,Neutral,Neutral,Disagree,Disagree,Female,56 or older,Contract/casual,7 to 10 Years,False,False,False,False,False,False,False,True
6,6,6,634152007975694000,Non-Delivery (corporate),Resignation,False,True,False,True,False,False,False,True,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Male,20 or younger,Temporary Full-time,3 to 4 Years,False,False,True,False,False,True,False,True
7,7,7,634153745310374000,Delivery (teaching),Resignation,False,False,False,False,False,False,False,True,Neutral,Agree,Disagree,Disagree,Neutral,Male,46 – 50,Permanent Full-time,3 to 4 Years,False,False,False,False,False,False,False,True
8,8,8,634157899735969000,Delivery (teaching),Resignation,False,False,False,False,False,False,False,True,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Female,36 – 40,Temporary Full-time,3 to 4 Years,False,False,False,False,False,False,False,True
9,9,9,634158812168312000,Non-Delivery (corporate),Resignation,True,False,False,False,False,False,False,True,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Female,21 – 25,Permanent Full-time,1 to 2 Years,False,True,False,False,False,False,False,True
