,Unnamed: 0,Unnamed: 0.1,record_id,job_position,leave_reason,cf_to_public_sector,cf_to_private_sector,cf_health,cf_family,cf_dept_dissatisfaction,cf_job_dissatisfaction,cf_interpersonal_conflict,cf_other,institute_recognition,institute_job_security,dept_workload,dept_work_life_balance,dept_work_environment,gender,age,job_status,service_years,cf_dept_dissatisfaction_x,cf_to_public_sector_x,cf_to_private_sector_x,cf_interpersonal_conflict_x,cf_job_dissatisfaction_x,cf_family_x,cf_health_x,cf_other_x,dept_work_environment_x,institute_recognition_x
0,0,0,634133009996094000,Non-Delivery (corporate),Contract Expired,False,False,False,False,False,False,False,False,False,Agree,Agree,Agree,False,Female,26–30,Temporary Full-time,1 to 2 Years,False,False,False,False,False,False,False,False,False,False
1,1,1,634133654064531000,Non-Delivery (corporate),Retirement,False,False,False,False,False,False,False,False,True,Strongly Agree,Strongly Agree,Agree,True,,,,NaN,False,False,False,False,False,False,False,False,True,True
2,2,2,634138845606563000,Delivery (teaching),Retirement,False,False,False,False,False,False,False,False,False,Agree,Agree,Agree,False,,,,NaN,False,False,False,False,False,False,False,False,False,False
3,3,3,634139903350000000,Non-Delivery (corporate),Resignation,False,False,False,False,False,False,False,False,False,Agree,Strongly Agree,Strongly Agree,True,,,,NaN,False,False,False,False,False,False,False,False,True,False
4,4,4,634146578511788000,Delivery (teaching),Resignation,False,True,False,False,False,False,False,False,True,Agree,Strongly Agree,Strongly Agree,True,Male,41–45,Permanent Full-time,3 to 4 Years,False,False,True,False,False,False,False,False,True,True
5,5,5,634147506906311000,Delivery (teaching),Resignation,False,False,False,False,False,False,False,True,False,Neutral,Neutral,Disagree,False,Female,56+,Contract/casual,7 to 10 Years,False,False,False,False,False,False,False,True,False,False
6,6,6,634152007975694000,Non-Delivery (corporate),Resignation,False,True,False,True,False,False,False,True,True,Strongly Agree,Strongly Agree,Strongly Agree,True,Male,18-20,Temporary Full-time,3 to 4 Years,False,False,True,False,False,True,False,True,True,True
7,7,7,634153745310374000,Delivery (teaching),Resignation,False,False,False,False,False,False,False,True,False,Agree,Disagree,Disagree,False,Male,46–50,Permanent Full-time,3 to 4 Years,False,False,False,False,False,False,False,True,False,False
8,8,8,634157899735969000,Delivery (teaching),Resignation,False,False,False,False,False,False,False,True,True,Strongly Agree,Strongly Agree,Strongly Agree,True,Female,36–40,Temporary Full-time,3 to 4 Years,False,False,False,False,False,False,False,True,True,True
9,9,9,634158812168312000,Non-Delivery (corporate),Resignation,True,False,False,False,False,False,False,True,False,Strongly Agree,Strongly Agree,Agree,True,Female,21–25,Permanent Full-time,1 to 2 Years,False,True,False,False,False,False,False,True,True,False
10,10,10,634158825838625000,Non-Delivery (corporate),Resignation,True,False,False,False,False,False,False,False,False,Agree,Strongly Agree,Strongly Agree,True,Female,41–45,Temporary Part-time,Under 1 Year,False,True,False,False,False,False,False,False,True,False
11,11,11,634171926251752000,Delivery (teaching),Retrenchment/ Redundancy,False,False,False,False,False,False,False,False,True,Agree,Agree,Agree,True,Male,56+,Permanent Part-time,11 to 20 Years,False,False,False,False,False,False,False,False,True,True
12,12,12,634171929735346000,Delivery (teaching),Retrenchment/ Redundancy,False,False,False,False,False,False,False,False,True,Strongly Agree,Agree,Agree,True,Male,51-55,Permanent Full-time,3 to 4 Years,False,False,False,False,False,False,False,False,True,True
13,13,13,634172522831440000,Non-Delivery (corporate),Resignation,False,True,False,False,False,False,False,False,False,Agree,Agree,Agree,False,Female,31–35,Temporary Full-time,11 to 20 Years,False,False,True,False,False,False,False,False,False,False
14,14,14,634172609223344000,Delivery (teaching),Resignation,False,True,False,False,True,True,False,False,False,Agree,Disagree,Agree,False,Female,31–35,Permanent Part-time,7 to 10 Years,True,False,True,False,True,False,False,False,False,False
