,cf_to_public_sector,cf_to_private_sector,cf_health,cf_family,cf_dept_dissatisfaction,cf_job_dissatisfaction,cf_interpersonal_conflict,cf_other,institute_recognition,institute_job_security,dept_workload,dept_work_life_balance,dept_work_environment,gender,age,service_years
0,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,26–30,1 to 2 Years
1,False,False,False,False,False,False,False,False,True,True,True,False,True,Female,,NaN
2,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,,NaN
3,False,False,False,False,False,False,False,False,False,False,True,True,True,Female,,NaN
4,False,True,False,False,False,False,False,False,True,False,True,True,True,Male,41–45,3 to 4 Years
5,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,7 to 10 Years
6,False,True,False,True,False,False,False,True,True,True,True,True,True,Male,18-20,3 to 4 Years
7,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,46–50,3 to 4 Years
8,False,False,False,False,False,False,False,True,True,True,True,True,True,Female,36–40,3 to 4 Years
9,True,False,False,False,False,False,False,True,False,True,True,False,True,Female,21–25,1 to 2 Years
10,True,False,False,False,False,False,False,False,False,False,True,True,True,Female,41–45,Under 1 Year
11,False,False,False,False,False,False,False,False,True,False,False,False,True,Male,56+,11 to 20 Years
12,False,False,False,False,False,False,False,False,True,True,False,False,True,Male,51-55,3 to 4 Years
13,False,True,False,False,False,False,False,False,False,False,False,False,False,Female,31–35,11 to 20 Years
14,False,True,False,False,True,True,False,False,False,False,False,False,False,Female,31–35,7 to 10 Years
15,False,False,False,False,False,False,False,True,False,False,True,True,True,Female,46–50,11 to 20 Years
16,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,,NaN
17,True,False,False,False,False,True,False,False,False,False,False,False,False,Female,31–35,7 to 10 Years
18,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,,NaN
19,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,,NaN
20,False,False,False,False,True,True,False,False,False,False,False,False,False,Female,,NaN
21,False,True,False,False,False,False,False,False,False,False,False,False,False,Female,,NaN
22,True,False,False,False,False,False,False,True,False,False,False,False,True,Male,26–30,5 to 6 Years
23,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,26–30,Under 1 Year
24,False,True,False,False,False,False,False,False,False,False,False,False,False,Female,31–35,7 to 10 Years
25,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,41–45,Under 1 Year
26,False,True,False,False,True,True,False,False,False,False,False,False,True,Male,,NaN
27,True,False,False,False,False,False,False,False,False,False,False,False,True,Male,56+,20 Plus Years
28,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,,NaN
29,False,True,False,False,False,False,False,False,True,False,False,False,False,Female,31–35,Under 1 Year
30,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,,NaN
31,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,26–30,Under 1 Year
32,False,True,False,False,False,False,False,False,False,False,False,False,False,Female,46–50,Under 1 Year
33,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,,NaN
34,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,56+,20 Plus Years
35,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,56+,11 to 20 Years
36,True,True,False,False,False,False,False,True,False,False,False,False,False,Female,,NaN
37,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,,NaN
38,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,,NaN
39,True,False,False,False,False,False,False,False,True,True,True,True,True,Female,,NaN
40,False,False,False,False,True,False,False,False,False,False,False,False,False,Female,26–30,Under 1 Year
41,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,36–40,11 to 20 Years
42,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,31–35,3 to 4 Years
43,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,56+,20 Plus Years
44,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,36–40,11 to 20 Years
45,True,True,False,False,False,False,False,True,False,False,False,False,False,Male,51-55,11 to 20 Years
46,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,20 Plus Years
47,False,True,False,False,True,False,False,False,False,False,True,False,False,Male,31–35,Under 1 Year
48,True,False,False,True,False,True,False,False,False,False,False,True,False,Female,31–35,7 to 10 Years
49,False,True,False,False,False,False,False,False,False,True,True,False,False,Male,56+,3 to 4 Years
50,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,,NaN
51,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,,NaN
52,False,True,False,False,False,True,False,False,False,False,False,False,True,Female,41–45,3 to 4 Years
53,True,False,False,False,False,False,False,False,False,False,False,False,False,Female,,NaN
54,False,False,False,False,True,False,False,True,False,False,False,False,False,Male,,NaN
55,False,True,False,False,False,False,False,False,False,False,True,True,True,Female,31–35,Under 1 Year
56,False,True,False,False,False,False,False,False,False,False,False,False,False,Female,26–30,3 to 4 Years
57,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,26–30,3 to 4 Years
58,False,False,False,False,False,True,False,False,False,False,True,False,False,Female,56+,3 to 4 Years
59,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,,NaN
60,False,False,False,False,False,False,False,True,True,True,False,False,False,Female,56+,3 to 4 Years
61,False,False,False,False,False,False,False,False,True,True,True,True,True,Male,26–30,3 to 4 Years
62,False,False,False,False,False,False,False,False,False,False,True,True,False,Female,51-55,11 to 20 Years
63,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,51-55,3 to 4 Years
64,False,False,False,False,True,False,True,False,False,False,False,False,False,Male,46–50,11 to 20 Years
65,False,False,False,False,True,False,False,True,True,True,False,True,True,Female,21–25,Under 1 Year
66,False,False,False,True,False,False,False,False,True,False,False,True,True,Female,31–35,1 to 2 Years
67,False,False,False,False,False,False,False,False,True,False,False,True,False,Female,31–35,Under 1 Year
68,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,,NaN
69,False,True,False,False,False,False,False,False,False,False,False,False,True,Male,51-55,3 to 4 Years
70,False,False,False,False,False,True,False,False,False,False,True,False,False,Female,51-55,3 to 4 Years
71,True,False,False,False,True,False,False,False,False,False,False,False,False,Female,36–40,7 to 10 Years
72,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,51-55,5 to 6 Years
73,False,False,False,False,False,False,False,False,True,True,True,True,True,Female,41–45,Under 1 Year
