,cf_to_public_sector,cf_to_private_sector,cf_health,cf_family,cf_dept_dissatisfaction,cf_job_dissatisfaction,cf_interpersonal_conflict,cf_other,institute_recognition,institute_job_security,dept_workload,dept_work_life_balance,dept_work_environment,gender,age,service_years,exit_year,college
0,True,False,False,False,False,True,False,True,True,False,False,False,False,Male,56+,7 to 10 Years,2012,DETE
1,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,56+,,2012,DETE
2,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,56+,1 to 2 Years,2012,DETE
3,False,True,False,False,False,False,False,False,False,False,False,False,False,Female,36-40,5 to 6 Years,2012,DETE
4,False,False,False,False,False,False,False,False,False,False,False,True,False,Female,56+,20 Plus Years,2012,DETE
5,False,True,False,True,False,False,False,False,False,False,False,False,False,Female,41-45,11 to 20 Years,2012,DETE
6,False,False,False,False,True,True,False,False,False,False,False,False,False,Female,56+,5 to 6 Years,2012,DETE
7,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,56+,20 Plus Years,2012,DETE
8,False,True,False,False,False,False,False,False,False,False,False,False,False,Female,31-35,3 to 4 Years,2012,DETE
9,False,False,False,False,True,True,True,False,False,False,False,False,False,Female,46-50,3 to 4 Years,2012,DETE
10,False,False,False,False,False,True,False,False,False,False,False,False,False,Male,56+,11 to 20 Years,2012,DETE
11,False,False,False,True,False,False,False,False,False,False,False,False,False,Male,31-35,3 to 4 Years,2012,DETE
12,False,False,False,True,False,False,False,False,False,False,False,False,False,Female,36-40,11 to 20 Years,2012,DETE
13,False,False,False,False,False,False,False,False,False,False,False,True,False,Female,56+,11 to 20 Years,2012,DETE
14,False,False,False,False,True,True,False,False,False,False,False,False,False,Male,31-35,1 to 2 Years,2012,DETE
15,False,False,True,False,False,False,False,False,False,False,False,False,False,Male,56+,7 to 10 Years,2012,DETE
16,False,False,False,False,False,False,False,False,True,False,False,False,False,Male,56+,,2012,DETE
17,False,False,False,True,False,False,False,False,False,False,False,False,False,Female,56+,11 to 20 Years,2012,DETE
18,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,5 to 6 Years,2012,DETE
19,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,56+,20 Plus Years,2012,DETE
20,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,56+,20 Plus Years,2012,DETE
21,False,False,False,False,False,False,True,False,False,False,False,False,False,Female,51-55,3 to 4 Years,2012,DETE
22,False,False,False,False,True,False,False,False,True,False,False,True,False,Female,46-50,11 to 20 Years,2012,DETE
23,False,False,False,True,False,True,False,False,False,False,False,True,False,Female,56+,Under 1 Year,2012,DETE
24,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,20 Plus Years,2012,DETE
25,False,False,False,False,False,False,False,False,False,False,False,True,False,Female,41-45,7 to 10 Years,2012,DETE
26,False,False,False,False,False,False,False,False,False,False,True,True,False,Male,56+,20 Plus Years,2012,DETE
27,True,False,False,False,False,False,False,False,False,False,False,False,False,Female,21-25,1 to 2 Years,2012,DETE
28,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,56+,20 Plus Years,2012,DETE
29,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,7 to 10 Years,2012,DETE
30,False,False,True,False,True,True,False,False,False,False,False,False,False,Female,56+,20 Plus Years,2012,DETE
31,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,51-55,20 Plus Years,2012,DETE
32,False,False,True,False,False,False,True,False,False,False,False,True,False,Male,56+,11 to 20 Years,2012,DETE
33,False,False,False,False,False,False,True,False,True,False,False,False,False,Male,36-40,7 to 10 Years,2012,DETE
34,False,False,False,False,False,False,False,False,False,False,False,True,False,Male,56+,3 to 4 Years,2012,DETE
35,False,False,True,False,True,False,False,False,False,False,False,False,False,Female,51-55,11 to 20 Years,2012,DETE
36,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,56+,11 to 20 Years,2012,DETE
37,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,21-25,1 to 2 Years,2012,DETE
38,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,51-55,11 to 20 Years,2012,DETE
39,False,False,False,False,False,True,False,False,True,False,False,True,False,Female,21-25,,2012,DETE
40,True,False,False,False,False,False,False,False,False,False,False,False,False,Male,56+,20 Plus Years,2012,DETE
41,False,False,False,False,False,False,True,False,False,False,False,True,False,Female,51-55,11 to 20 Years,2012,DETE
42,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,41-45,1 to 2 Years,2012,DETE
43,False,False,False,False,False,True,False,False,False,False,True,True,False,Male,51-55,20 Plus Years,2012,DETE
44,False,True,False,False,True,False,False,False,False,False,True,False,False,Female,51-55,20 Plus Years,2012,DETE
45,False,False,True,False,False,False,False,False,False,False,True,True,False,Female,46-50,11 to 20 Years,2012,DETE
46,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,56+,3 to 4 Years,2012,DETE
47,False,False,False,False,False,False,False,False,False,False,False,True,False,Female,56+,11 to 20 Years,2012,DETE
48,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,21-25,1 to 2 Years,2012,DETE
49,False,False,False,False,False,False,False,False,False,False,False,True,False,Female,56+,5 to 6 Years,2012,DETE
50,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,21-25,1 to 2 Years,2012,DETE
51,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,11 to 20 Years,2012,DETE
52,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,20 Plus Years,2012,DETE
53,False,False,True,False,False,False,False,False,False,False,False,False,False,Female,56+,,2012,DETE
54,False,False,True,False,False,True,False,False,True,False,False,False,False,Female,56+,3 to 4 Years,2012,DETE
55,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,26-30,3 to 4 Years,2012,DETE
56,False,False,False,False,False,True,False,False,False,False,False,True,False,Female,56+,20 Plus Years,2012,DETE
57,False,True,False,False,False,False,False,False,False,False,False,False,False,Male,46-50,Under 1 Year,2012,DETE
58,False,False,True,False,False,True,False,False,False,False,True,False,False,Female,51-55,Under 1 Year,2012,DETE
59,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,,2012,DETE
60,False,False,False,False,False,False,False,False,False,False,False,True,False,Male,46-50,20 Plus Years,2012,DETE
61,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,31-35,1 to 2 Years,2012,DETE
62,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,20 Plus Years,2012,DETE
63,False,False,True,False,False,False,False,False,False,False,True,False,True,Male,56+,20 Plus Years,2012,DETE
64,False,False,False,False,False,True,False,False,False,False,True,False,False,Male,56+,20 Plus Years,2012,DETE
65,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,56+,20 Plus Years,2012,DETE
66,False,False,False,False,False,False,False,False,False,False,False,True,False,Male,56+,5 to 6 Years,2012,DETE
67,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,26-30,,2012,DETE
68,False,False,False,False,False,True,False,False,True,False,False,False,False,Male,56+,5 to 6 Years,2012,DETE
69,False,False,False,False,False,True,False,False,False,False,False,False,False,Female,36-40,,2012,DETE
70,False,False,False,False,False,False,False,False,False,False,True,False,True,Female,56+,20 Plus Years,2012,DETE
