,cf_to_public_sector,cf_to_private_sector,cf_health,cf_family,cf_dept_dissatisfaction,cf_job_dissatisfaction,cf_interpersonal_conflict,cf_other,institute_recognition,institute_job_security,dept_workload,dept_work_life_balance,dept_work_environment,gender,age,service_years,exit_year,college
0,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,26–30,1 to 2 Years,2010,TAFE
1,False,False,False,False,False,False,False,False,True,True,True,False,True,Female,,,2010,TAFE
2,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,,,2010,TAFE
3,False,False,False,False,False,False,False,False,False,False,True,True,True,Female,,,2010,TAFE
4,False,True,False,False,False,False,False,False,True,False,True,True,True,Male,41–45,3 to 4 Years,2010,TAFE
5,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,7 to 10 Years,2010,TAFE
6,False,True,False,True,False,False,False,True,True,True,True,True,True,Male,18-20,3 to 4 Years,2010,TAFE
7,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,46–50,3 to 4 Years,2010,TAFE
8,False,False,False,False,False,False,False,True,True,True,True,True,True,Female,36–40,3 to 4 Years,2009,TAFE
9,True,False,False,False,False,False,False,True,False,True,True,False,True,Female,21–25,1 to 2 Years,2010,TAFE
10,True,False,False,False,False,False,False,False,False,False,True,True,True,Female,41–45,Under 1 Year,2010,TAFE
11,False,False,False,False,False,False,False,False,True,False,False,False,True,Male,56+,11 to 20 Years,2010,TAFE
12,False,False,False,False,False,False,False,False,True,True,False,False,True,Male,51-55,3 to 4 Years,2010,TAFE
13,False,True,False,False,False,False,False,False,False,False,False,False,False,Female,31–35,11 to 20 Years,2010,TAFE
14,False,True,False,False,True,True,False,False,False,False,False,False,False,Female,31–35,7 to 10 Years,2010,TAFE
15,False,False,False,False,False,False,False,True,False,False,True,True,True,Female,46–50,11 to 20 Years,2010,TAFE
16,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,,,2010,TAFE
17,True,False,False,False,False,True,False,False,False,False,False,False,False,Female,31–35,7 to 10 Years,2010,TAFE
18,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,,,2010,TAFE
19,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,,,2010,TAFE
20,False,False,False,False,True,True,False,False,False,False,False,False,False,Female,,,2010,TAFE
21,False,True,False,False,False,False,False,False,False,False,False,False,False,Female,,,2010,TAFE
22,True,False,False,False,False,False,False,True,False,False,False,False,True,Male,26–30,5 to 6 Years,2010,TAFE
23,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,26–30,Under 1 Year,2010,TAFE
24,False,True,False,False,False,False,False,False,False,False,False,False,False,Female,31–35,7 to 10 Years,2010,TAFE
25,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,41–45,Under 1 Year,2010,TAFE
26,False,True,False,False,True,True,False,False,False,False,False,False,True,Male,,,2010,TAFE
27,True,False,False,False,False,False,False,False,False,False,False,False,True,Male,56+,20 Plus Years,2010,TAFE
28,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,,,2010,TAFE
29,False,True,False,False,False,False,False,False,True,False,False,False,False,Female,31–35,Under 1 Year,2010,TAFE
30,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,,,2010,TAFE
31,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,26–30,Under 1 Year,2010,TAFE
32,False,True,False,False,False,False,False,False,False,False,False,False,False,Female,46–50,Under 1 Year,2010,TAFE
33,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,,,2010,TAFE
34,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,56+,20 Plus Years,2010,TAFE
35,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,56+,11 to 20 Years,2010,TAFE
36,True,True,False,False,False,False,False,True,False,False,False,False,False,Female,,,2010,TAFE
37,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,,,2010,TAFE
38,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,,,2010,TAFE
39,True,False,False,False,False,False,False,False,True,True,True,True,True,Female,,,2010,TAFE
40,False,False,False,False,True,False,False,False,False,False,False,False,False,Female,26–30,Under 1 Year,2010,TAFE
41,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,36–40,11 to 20 Years,2010,TAFE
42,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,31–35,3 to 4 Years,2010,TAFE
43,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,56+,20 Plus Years,2010,TAFE
44,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,36–40,11 to 20 Years,2010,TAFE
45,True,True,False,False,False,False,False,True,False,False,False,False,False,Male,51-55,11 to 20 Years,2010,TAFE
46,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,20 Plus Years,2010,TAFE
47,False,True,False,False,True,False,False,False,False,False,True,False,False,Male,31–35,Under 1 Year,2010,TAFE
48,True,False,False,True,False,True,False,False,False,False,False,True,False,Female,31–35,7 to 10 Years,2010,TAFE
49,False,True,False,False,False,False,False,False,False,True,True,False,False,Male,56+,3 to 4 Years,2010,TAFE
50,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,,,2010,TAFE
51,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,,,2010,TAFE
52,False,True,False,False,False,True,False,False,False,False,False,False,True,Female,41–45,3 to 4 Years,2010,TAFE
53,True,False,False,False,False,False,False,False,False,False,False,False,False,Female,,,2010,TAFE
54,False,False,False,False,True,False,False,True,False,False,False,False,False,Male,,,2010,TAFE
55,False,True,False,False,False,False,False,False,False,False,True,True,True,Female,31–35,Under 1 Year,2010,TAFE
56,False,True,False,False,False,False,False,False,False,False,False,False,False,Female,26–30,3 to 4 Years,2010,TAFE
57,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,26–30,3 to 4 Years,2010,TAFE
58,False,False,False,False,False,True,False,False,False,False,True,False,False,Female,56+,3 to 4 Years,2010,TAFE
59,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,,,2010,TAFE
60,False,False,False,False,False,False,False,True,True,True,False,False,False,Female,56+,3 to 4 Years,2010,TAFE
61,False,False,False,False,False,False,False,False,True,True,True,True,True,Male,26–30,3 to 4 Years,2009,TAFE
62,False,False,False,False,False,False,False,False,False,False,True,True,False,Female,51-55,11 to 20 Years,2009,TAFE
63,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,51-55,3 to 4 Years,2009,TAFE
64,False,False,False,False,True,False,True,False,False,False,False,False,False,Male,46–50,11 to 20 Years,2010,TAFE
65,False,False,False,False,True,False,False,True,True,True,False,True,True,Female,21–25,Under 1 Year,2010,TAFE
66,False,False,False,True,False,False,False,False,True,False,False,True,True,Female,31–35,1 to 2 Years,2010,TAFE
67,False,False,False,False,False,False,False,False,True,False,False,True,False,Female,31–35,Under 1 Year,2010,TAFE
68,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,,,2010,TAFE
69,False,True,False,False,False,False,False,False,False,False,False,False,True,Male,51-55,3 to 4 Years,2010,TAFE
70,False,False,False,False,False,True,False,False,False,False,True,False,False,Female,51-55,3 to 4 Years,2010,TAFE
71,True,False,False,False,True,False,False,False,False,False,False,False,False,Female,36–40,7 to 10 Years,2010,TAFE
72,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,51-55,5 to 6 Years,2010,TAFE
73,False,False,False,False,False,False,False,False,True,True,True,True,True,Female,41–45,Under 1 Year,2010,TAFE
74,False,False,False,False,False,True,False,False,False,False,False,False,False,Female,18-20,Under 1 Year,2010,TAFE
75,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,,,2010,TAFE
76,True,False,False,False,False,False,False,False,False,False,False,False,False,Female,51-55,3 to 4 Years,2010,TAFE
77,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,51-55,1 to 2 Years,2010,TAFE
78,False,False,True,False,False,False,False,False,False,False,False,False,False,Female,31–35,1 to 2 Years,2010,TAFE
79,False,False,False,False,False,True,False,False,False,False,False,False,False,Male,41–45,Under 1 Year,2010,TAFE
80,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,46–50,7 to 10 Years,2010,TAFE
81,False,False,False,True,False,False,False,False,False,False,False,False,False,Male,41–45,5 to 6 Years,2010,TAFE
82,False,False,False,False,False,False,False,False,False,False,True,True,True,Female,41–45,5 to 6 Years,2010,TAFE
83,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,18-20,Under 1 Year,2010,TAFE
84,False,False,False,True,False,False,False,False,False,True,False,False,False,Female,56+,3 to 4 Years,2010,TAFE
85,True,False,False,False,False,False,False,False,False,False,False,False,False,Female,26–30,7 to 10 Years,2010,TAFE
86,False,True,True,False,True,True,True,False,False,False,False,False,True,Female,41–45,3 to 4 Years,2010,TAFE
87,True,False,False,False,False,False,False,False,False,False,False,False,False,Female,,,2010,TAFE
88,False,True,False,False,False,False,False,False,True,False,False,False,True,Female,31–35,Under 1 Year,2010,TAFE
89,True,False,False,False,False,False,False,False,False,False,False,False,True,Female,41–45,Under 1 Year,2010,TAFE
90,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,,,2011,TAFE
91,False,True,True,False,False,False,False,False,False,False,False,False,False,Female,,,2010,TAFE
