,ID,SeparationType,Cease Date,Position,Classification,Career move to public sector,Career move to private sector,Interpersonal conflicts,Job dissatisfaction,Dissatisfaction with the department,Physical work environment,Lack of recognition,Lack of job security,Maternity/family,Ill Health,Work life balance,Workload,None of the above,Gender,Age,service_length
0,1,Ill Health Retirement,08/2012,Public Servant,A01-A04,True,False,False,True,False,False,True,False,False,False,False,False,True,Male,56-60,8.0
1,2,Voluntary Early Retirement (VER),08/2012,Public Servant,AO5-AO7,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,56-60,
2,3,Voluntary Early Retirement (VER),05/2012,Schools Officer,,False,False,False,False,False,False,False,False,False,False,False,False,True,Male,61 or older,1.0
3,4,Resignation-Other reasons,05/2012,Teacher,Primary,False,True,False,False,False,False,False,False,False,False,False,False,False,Female,36-40,6.0
4,5,Age Retirement,05/2012,Head of Curriculum/Head of Special Education,,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,61 or older,23.0
5,6,Resignation-Other reasons,05/2012,Guidance Officer,,False,True,False,False,False,False,False,False,True,False,False,False,False,Female,41-45,15.0
6,7,Age Retirement,05/2012,Teacher,Secondary,False,False,False,True,True,False,False,False,False,False,False,False,False,Female,56-60,5.0
7,8,Age Retirement,05/2012,Teacher Aide,,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,61 or older,22.0
8,9,Resignation-Other reasons,07/2012,Teacher,Secondary,False,True,False,False,False,False,False,False,False,False,False,False,False,Female,31-35,3.0
9,10,Resignation-Other employer,2012,Teacher Aide,,False,False,True,True,True,False,False,False,False,False,False,False,False,Female,46-50,4.0
10,11,Age Retirement,2012,Teacher,Primary,False,False,False,True,False,False,False,False,False,False,False,False,False,Male,61 or older,13.0
11,12,Resignation-Move overseas/interstate,2012,Teacher,Secondary,False,False,False,False,False,False,False,False,True,False,False,False,False,Male,31-35,3.0
12,13,Resignation-Other reasons,2012,Teacher,Primary,False,False,False,False,False,False,False,False,True,False,False,False,False,Female,36-40,14.0
13,14,Age Retirement,2012,Teacher,Primary,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,61 or older,12.0
14,15,Resignation-Other employer,2012,Teacher,Secondary,False,False,False,True,True,False,False,False,False,False,False,False,False,Male,31-35,2.0
15,16,Voluntary Early Retirement (VER),2012,Teacher,Secondary,False,False,False,False,False,False,False,False,False,True,False,False,False,Male,61 or older,8.0
16,17,Resignation-Other reasons,2012,Teacher Aide,,False,False,False,False,False,False,True,False,False,False,False,False,False,Male,61 or older,
17,18,Age Retirement,2012,Teacher,Primary,False,False,False,False,False,False,False,False,True,False,False,False,False,Female,56-60,16.0
18,19,Age Retirement,2012,Cleaner,,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,61 or older,6.0
19,20,Age Retirement,2012,Cleaner,,False,False,False,False,False,False,False,False,False,False,False,False,True,Male,61 or older,23.0
20,21,Resignation-Other employer,2012,Teacher,Secondary,False,False,False,False,False,False,False,False,False,False,False,False,True,Male,56-60,30.0
21,22,Resignation-Other reasons,2012,Cleaner,,False,False,True,False,False,False,False,False,False,False,False,False,False,Female,51-55,3.0
