,record_id,job_position,leave_year,leave_reason,cf_to_public_sector,cf_to_private_sector,cf_health,cf_family,cf_dept_dissatisfaction,cf_job_dissatisfaction,cf_interpersonal_conflict,cf_other,institute_recognition,institute_job_security,dept_workload,dept_work_life_balance,dept_work_environment,gender,age,job_status,service_years
0,1,Public Servant,08/2012,Ill Health Retirement,True,False,False,False,False,True,False,True,True,False,False,False,False,Male,56-60,A01-A04,8.0
1,2,Public Servant,08/2012,Voluntary Early Retirement (VER),False,False,False,False,False,False,False,False,False,False,False,False,False,Male,56-60,AO5-AO7,
2,3,Schools Officer,05/2012,Voluntary Early Retirement (VER),False,False,False,False,False,False,False,True,False,False,False,False,False,Male,61 or older,,1.0
3,4,Teacher,05/2012,Resignation-Other reasons,False,True,False,False,False,False,False,False,False,False,False,False,False,Female,36-40,Primary,6.0
4,5,Head of Curriculum/Head of Special Education,05/2012,Age Retirement,False,False,False,False,False,False,False,False,False,False,False,True,False,Female,61 or older,,23.0
5,6,Guidance Officer,05/2012,Resignation-Other reasons,False,True,False,True,False,False,False,False,False,False,False,False,False,Female,41-45,,15.0
6,7,Teacher,05/2012,Age Retirement,False,False,False,False,True,True,False,False,False,False,False,False,False,Female,56-60,Secondary,5.0
7,8,Teacher Aide,05/2012,Age Retirement,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,61 or older,,22.0
8,9,Teacher,07/2012,Resignation-Other reasons,False,True,False,False,False,False,False,False,False,False,False,False,False,Female,31-35,Secondary,3.0
9,10,Teacher Aide,2012,Resignation-Other employer,False,False,False,False,True,True,True,False,False,False,False,False,False,Female,46-50,,4.0
10,11,Teacher,2012,Age Retirement,False,False,False,False,False,True,False,False,False,False,False,False,False,Male,61 or older,Primary,13.0
11,12,Teacher,2012,Resignation-Move overseas/interstate,False,False,False,True,False,False,False,False,False,False,False,False,False,Male,31-35,Secondary,3.0
12,13,Teacher,2012,Resignation-Other reasons,False,False,False,True,False,False,False,False,False,False,False,False,False,Female,36-40,Primary,14.0
13,14,Teacher,2012,Age Retirement,False,False,False,False,False,False,False,False,False,False,False,True,False,Female,61 or older,Primary,12.0
14,15,Teacher,2012,Resignation-Other employer,False,False,False,False,True,True,False,False,False,False,False,False,False,Male,31-35,Secondary,2.0
15,16,Teacher,2012,Voluntary Early Retirement (VER),False,False,True,False,False,False,False,False,False,False,False,False,False,Male,61 or older,Secondary,8.0
16,17,Teacher Aide,2012,Resignation-Other reasons,False,False,False,False,False,False,False,False,True,False,False,False,False,Male,61 or older,,
17,18,Teacher,2012,Age Retirement,False,False,False,True,False,False,False,False,False,False,False,False,False,Female,56-60,Primary,16.0
18,19,Cleaner,2012,Age Retirement,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,61 or older,,6.0
19,20,Cleaner,2012,Age Retirement,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,61 or older,,23.0
20,21,Teacher,2012,Resignation-Other employer,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,56-60,Secondary,30.0
21,22,Cleaner,2012,Resignation-Other reasons,False,False,False,False,False,False,True,False,False,False,False,False,False,Female,51-55,,3.0
22,23,School Administrative Staff,2012,Resignation-Other reasons,False,False,False,False,True,False,False,False,True,False,False,True,False,Female,46-50,,14.0
23,24,Teacher,2012,Resignation-Other reasons,False,False,False,True,False,True,False,False,False,False,False,True,False,Female,61 or older,Primary,0.0
24,25,Teacher Aide,2012,Age Retirement,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,61 or older,,31.0
25,26,Teacher,2012,Resignation-Other reasons,False,False,False,False,False,False,False,False,False,False,False,True,False,Female,41-45,Primary,10.0
26,27,Teacher,2012,Age Retirement,False,False,False,False,False,False,False,False,False,False,True,True,False,Male,56-60,Primary,35.0
27,28,Public Servant,2012,Resignation-Other employer,True,False,False,False,False,False,False,False,False,False,False,False,False,Female,21-25,AO5-AO7,1.0
28,29,Teacher Aide,2012,Age Retirement,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,56-60,,23.0
29,30,Teacher,2012,Age Retirement,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56-60,Special Education,9.0
30,31,Teacher,2012,Age Retirement,False,False,True,False,True,True,False,False,False,False,False,False,False,Female,56-60,Primary,23.0
