,record_id,job_position,leave_year,leave_reason,cf_to_public_sector,cf_to_private_sector,cf_health,cf_family,cf_dept_dissatisfaction,cf_job_dissatisfaction,cf_interpersonal_conflict,cf_other,institute_recognition,institute_job_security,dept_workload,dept_work_life_balance,dept_work_environment,gender,age,job_status,service_years
0,634133009996094000,Non-Delivery (corporate),2010.0,Contract Expired,,,,,,,,,Agree,Agree,Agree,Agree,Agree,Female,26 – 30,Temporary Full-time,1-2
1,634133654064531000,Non-Delivery (corporate),2010.0,Retirement,-,-,-,-,-,-,-,-,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,,,,
2,634138845606563000,Delivery (teaching),2010.0,Retirement,-,-,-,-,-,-,-,-,Agree,Agree,Agree,Agree,Agree,,,,
3,634139903350000000,Non-Delivery (corporate),2010.0,Resignation,-,-,-,-,-,-,-,-,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,,
4,634146578511788000,Delivery (teaching),2010.0,Resignation,-,Career Move - Private Sector,-,-,-,-,-,-,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Male,41 – 45,Permanent Full-time,3-4
5,634147506906311000,Delivery (teaching),2010.0,Resignation,-,-,-,-,-,-,-,Other,Neutral,Neutral,Neutral,Disagree,Disagree,Female,56 or older,Contract/casual,7-10
6,634152007975694000,Non-Delivery (corporate),2010.0,Resignation,-,Career Move - Private Sector,-,Maternity/Family,-,-,-,Other,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Male,20 or younger,Temporary Full-time,3-4
7,634153745310374000,Delivery (teaching),2010.0,Resignation,-,-,-,-,-,-,-,Other,Neutral,Agree,Disagree,Disagree,Neutral,Male,46 – 50,Permanent Full-time,3-4
8,634157899735969000,Delivery (teaching),2009.0,Resignation,-,-,-,-,-,-,-,Other,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Female,36 – 40,Temporary Full-time,3-4
9,634158812168312000,Non-Delivery (corporate),2010.0,Resignation,Career Move - Public Sector,-,-,-,-,-,-,Other,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Female,21 – 25,Permanent Full-time,1-2
10,634158825838625000,Non-Delivery (corporate),2010.0,Resignation,Career Move - Public Sector,-,-,-,-,-,-,-,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Female,41 – 45,Temporary Part-time,Less than 1 year
11,634171926251752000,Delivery (teaching),2010.0,Retrenchment/ Redundancy,,,,,,,,,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Male,56 or older,Permanent Part-time,11-20
12,634171929735346000,Delivery (teaching),2010.0,Retrenchment/ Redundancy,,,,,,,,,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Male,51-55,Permanent Full-time,3-4
13,634172522831440000,Non-Delivery (corporate),2010.0,Resignation,-,Career Move - Private Sector,-,-,-,-,-,-,Neutral,Agree,Agree,Agree,Disagree,Female,31 – 35,Temporary Full-time,11-20
14,634172609223344000,Delivery (teaching),2010.0,Resignation,-,Career Move - Private Sector,-,-,Contributing Factors. Dissatisfaction ,Job Dissatisfaction,-,-,Neutral,Agree,Disagree,Agree,Agree,Female,31 – 35,Permanent Part-time,7-10
15,634176076134409000,Non-Delivery (corporate),2010.0,Resignation,-,-,-,-,-,-,-,Other,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Female,46 – 50,Permanent Part-time,11-20
16,634177007457719000,Non-Delivery (corporate),2010.0,Resignation,,,,,,,,,,,,,,,,,
17,634177053480062000,Non-Delivery (corporate),2010.0,Resignation,Career Move - Public Sector,-,-,-,-,Job Dissatisfaction,-,-,Neutral,Agree,Neutral,Neutral,Disagree,Female,31 – 35,Permanent Full-time,7-10
18,634177938010971000,Delivery (teaching),2010.0,Resignation,,,,,,,,,,,,,,,,,
19,634181972647250000,Non-Delivery (corporate),2010.0,Resignation,-,-,-,-,-,-,-,-,,,,,,,,,
20,634182099183434000,Non-Delivery (corporate),2010.0,Resignation,-,-,-,-,Contributing Factors. Dissatisfaction ,Job Dissatisfaction,-,-,Neutral,Disagree,Neutral,Agree,Agree,,,,
21,634183070751313000,Non-Delivery (corporate),2010.0,Resignation,-,Career Move - Private Sector,-,-,-,-,-,-,,,,,,,,,
22,634184748867652000,Non-Delivery (corporate),2010.0,Resignation,Career Move - Public Sector,-,-,-,-,-,-,Other,Neutral,Agree,Neutral,Disagree,Strongly Agree,Male,26 – 30,Temporary Full-time,5-6
23,634190678592028000,Non-Delivery (corporate),2010.0,Resignation,-,-,-,-,-,-,-,-,Neutral,Neutral,Agree,Agree,Strongly Agree,Female,26 – 30,Contract/casual,Less than 1 year
24,634190743855375000,Delivery (teaching),2010.0,Resignation,-,Career Move - Private Sector,-,-,-,-,-,-,Disagree,Disagree,Disagree,Disagree,Agree,Female,31 – 35,Permanent Part-time,7-10
25,634190913957094000,Non-Delivery (corporate),2010.0,Contract Expired,,,,,,,,,Agree,Neutral,Neutral,Neutral,Neutral,Female,41 – 45,Temporary Full-time,Less than 1 year
26,634193418130687000,Non-Delivery (corporate),2010.0,Resignation,-,Career Move - Private Sector,-,-,Contributing Factors. Dissatisfaction ,Job Dissatisfaction,-,-,Strongly Disagree,Agree,Agree,Agree,Strongly Agree,,,,
27,634193458894281000,Non-Delivery (corporate),2010.0,Resignation,Career Move - Public Sector,-,-,-,-,-,-,-,Agree,Agree,Agree,Agree,Strongly Agree,Male,56 or older,Temporary Full-time,More than 20 years
28,634195084065465000,Delivery (teaching),2010.0,Retirement,-,-,-,-,-,-,-,-,,,,,,,,,
29,634199393528500000,Non-Delivery (corporate),2010.0,Resignation,-,Career Move - Private Sector,-,-,-,-,-,-,Strongly Agree,Agree,Neutral,Neutral,Strongly Disagree,Female,31 – 35,Temporary Full-time,Less than 1 year
30,634199520161313000,Non-Delivery (corporate),2010.0,Contract Expired,,,,,,,,,Neutral,Agree,Agree,Agree,Agree,,,,
31,634199595826715000,Non-Delivery (corporate),2010.0,Contract Expired,,,,,,,,,Agree,Agree,Agree,Agree,Strongly Agree,Female,26 – 30,Temporary Full-time,Less than 1 year
32,634200229589215000,Non-Delivery (corporate),2010.0,Resignation,-,Career Move - Private Sector,-,-,-,-,-,-,Agree,Agree,Agree,Neutral,Agree,Female,46 – 50,Temporary Part-time,Less than 1 year
33,634201137431070000,Non-Delivery (corporate),2010.0,Retirement,-,-,-,-,-,-,-,-,,,,,,,,,
34,634201997218101000,Delivery (teaching),2010.0,Retirement,-,-,-,-,-,-,-,-,Agree,Agree,Agree,Agree,Agree,Male,56 or older,Permanent Full-time,More than 20 years
35,634205577322164000,Delivery (teaching),2010.0,Retirement,-,-,-,-,-,-,-,-,Strongly Disagree,Agree,Agree,Neutral,Agree,Female,56 or older,Permanent Part-time,11-20
